,Store,StoreType,Assortment,CompetitionDistance,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval,start_date,Week_Promo,Year_Promo
55,56,d,c,6620,1,10,2014,"Mar,Jun,Sept,Dec",2014-03-10 00:00:00,11,2014
56,57,d,c,420,0,0,0,0,0,0,0
57,58,a,c,7340,1,27,2012,"Jan,Apr,Jul,Oct",2012-07-02 00:00:00,27,2012
58,59,a,c,2840,1,14,2011,"Jan,Apr,Jul,Oct",2011-04-04 00:00:00,14,2011
59,60,d,c,5540,0,0,0,0,0,0,0
60,61,a,c,350,1,1,2012,"Jan,Apr,Jul,Oct",2012-01-02 00:00:00,1,2012
61,62,a,a,2050,0,0,0,0,0,0,0
62,63,c,c,3700,1,18,2010,"Feb,May,Aug,Nov",2010-05-03 00:00:00,18,2010
63,64,d,c,22560,1,14,2013,"Jan,Apr,Jul,Oct",2013-04-08 00:00:00,15,2013
64,65,a,c,13840,1,1,2012,"Jan,Apr,Jul,Oct",2012-01-02 00:00:00,1,2012
65,66,d,a,7660,1,37,2009,"Jan,Apr,Jul,Oct",2009-09-14 00:00:00,38,2009
66,67,a,c,410,0,0,0,0,0,0,0
67,68,a,c,250,1,35,2012,"Mar,Jun,Sept,Dec",2012-08-27 00:00:00,35,2012
68,69,c,c,1130,1,40,2011,"Jan,Apr,Jul,Oct",2011-10-03 00:00:00,40,2011
69,70,c,c,4840,0,0,0,0,0,0,0
70,71,a,a,17500,1,37,2009,"Mar,Jun,Sept,Dec",2009-09-14 00:00:00,38,2009
71,72,a,a,2200,1,13,2010,"Jan,Apr,Jul,Oct",2010-03-29 00:00:00,13,2010
72,73,a,c,1650,0,0,0,0,0,0,0
73,74,a,a,330,0,0,0,0,0,0,0
74,75,d,c,22440,0,0,0,0,0,0,0
75,76,d,c,19960,0,0,0,0,0,0,0
76,77,d,c,1090,1,10,2014,"Jan,Apr,Jul,Oct",2014-03-10 00:00:00,11,2014
77,78,a,a,3510,1,5,2013,"Feb,May,Aug,Nov",2013-02-04 00:00:00,6,2013
78,79,a,a,3320,0,0,0,0,0,0,0
79,80,d,a,7910,0,0,0,0,0,0,0
80,81,a,a,2370,1,40,2014,"Jan,Apr,Jul,Oct",2014-10-06 00:00:00,41,2014
81,82,a,a,22390,1,37,2009,"Jan,Apr,Jul,Oct",2009-09-14 00:00:00,38,2009
82,83,a,a,2710,0,0,0,0,0,0,0
83,84,a,c,11810,0,0,0,0,0,0,0
84,85,b,a,1870,0,0,0,0,0,0,0
85,86,a,a,480,1,31,2013,"Jan,Apr,Jul,Oct",2013-08-05 00:00:00,32,2013
86,87,a,a,560,0,0,0,0,0,0,0
87,88,a,a,10690,0,0,0,0,0,0,0
88,89,a,a,2380,1,40,2014,"Jan,Apr,Jul,Oct",2014-10-06 00:00:00,41,2014
89,90,a,a,330,0,0,0,0,0,0,0
90,91,c,a,2410,1,35,2011,"Jan,Apr,Jul,Oct",2011-08-29 00:00:00,35,2011
91,92,c,a,240,1,45,2009,"Feb,May,Aug,Nov",2009-11-09 00:00:00,46,2009
92,93,a,a,16690,1,14,2011,"Jan,Apr,Jul,Oct",2011-04-04 00:00:00,14,2011
93,94,d,c,14620,0,0,0,0,0,0,0
94,95,a,a,1890,0,0,0,0,0,0,0
95,96,a,a,8780,1,37,2009,"Jan,Apr,Jul,Oct",2009-09-14 00:00:00,38,2009
96,97,d,c,8980,0,0,0,0,0,0,0
97,98,d,c,15140,1,1,2012,"Jan,Apr,Jul,Oct",2012-01-02 00:00:00,1,2012
98,99,c,c,2030,1,22,2012,"Mar,Jun,Sept,Dec",2012-05-28 00:00:00,22,2012
99,100,d,a,17930,0,0,0,0,0,0,0
100,101,d,c,2440,1,22,2012,"Mar,Jun,Sept,Dec",2012-05-28 00:00:00,22,2012
101,102,a,a,150,1,10,2014,"Mar,Jun,Sept,Dec",2014-03-10 00:00:00,11,2014
102,103,d,c,5210,0,0,0,0,0,0,0
103,104,a,a,390,0,0,0,0,0,0,0
104,105,a,c,6190,1,23,2013,"Mar,Jun,Sept,Dec",2013-06-10 00:00:00,24,2013
105,106,a,a,1390,0,0,0,0,0,0,0
106,107,a,a,1930,0,0,0,0,0,0,0
107,108,d,c,2190,0,0,0,0,0,0,0
108,109,a,c,3300,0,0,0,0,0,0,0
109,110,a,c,46590,0,0,0,0,0,0,0
110,111,d,c,7890,1,37,2009,"Jan,Apr,Jul,Oct",2009-09-14 00:00:00,38,2009
111,112,a,a,1630,0,0,0,0,0,0,0
112,113,d,c,20930,0,0,0,0,0,0,0
113,114,c,a,4510,1,48,2011,"Mar,Jun,Sept,Dec",2011-11-28 00:00:00,48,2011
114,115,d,c,5740,1,40,2014,"Jan,Apr,Jul,Oct",2014-10-06 00:00:00,41,2014
115,116,a,a,680,0,0,0,0,0,0,0
116,117,a,a,3450,0,0,0,0,0,0,0
117,118,d,c,3580,0,0,0,0,0,0,0
118,119,a,c,2100,0,0,0,0,0,0,0
119,120,d,a,2290,1,37,2009,"Jan,Apr,Jul,Oct",2009-09-14 00:00:00,38,2009
120,121,a,a,3570,1,36,2013,"Mar,Jun,Sept,Dec",2013-09-09 00:00:00,37,2013
121,122,a,c,58260,0,0,0,0,0,0,0
122,123,a,a,16760,0,0,0,0,0,0,0
123,124,a,a,1410,0,0,0,0,0,0,0
124,125,a,a,760,0,0,0,0,0,0,0
125,126,d,a,3370,1,18,2011,"Feb,May,Aug,Nov",2011-05-02 00:00:00,18,2011
126,127,d,a,1350,1,13,2010,"Jan,Apr,Jul,Oct",2010-03-29 00:00:00,13,2010
127,128,d,c,2000,1,1,2013,"Jan,Apr,Jul,Oct",2013-01-07 00:00:00,2,2013
128,129,a,a,2460,1,14,2011,"Jan,Apr,Jul,Oct",2011-04-04 00:00:00,14,2011
129,130,c,a,900,1,13,2010,"Jan,Apr,Jul,Oct",2010-03-29 00:00:00,13,2010
130,131,c,a,920,0,0,0,0,0,0,0
131,132,d,c,1040,1,27,2012,"Jan,Apr,Jul,Oct",2012-07-02 00:00:00,27,2012
132,133,a,a,270,1,10,2014,"Mar,Jun,Sept,Dec",2014-03-10 00:00:00,11,2014
133,134,a,a,1200,0,0,0,0,0,0,0
134,135,d,a,5190,1,1,2013,"Jan,Apr,Jul,Oct",2013-01-07 00:00:00,2,2013
135,136,a,c,2200,1,22,2012,"Feb,May,Aug,Nov",2012-05-28 00:00:00,22,2012
136,137,a,a,1730,1,40,2014,"Jan,Apr,Jul,Oct",2014-10-06 00:00:00,41,2014
137,138,a,c,25360,0,0,0,0,0,0,0
138,139,a,a,1700,1,14,2011,"Jan,Apr,Jul,Oct",2011-04-04 00:00:00,14,2011
139,140,a,c,1090,1,1,2013,"Jan,Apr,Jul,Oct",2013-01-07 00:00:00,2,2013
140,141,c,c,1540,1,22,2012,"Mar,Jun,Sept,Dec",2012-05-28 00:00:00,22,2012
141,142,a,a,1090,0,0,0,0,0,0,0
142,143,d,a,2930,0,0,0,0,0,0,0
143,144,a,c,16570,0,0,0,0,0,0,0
144,145,a,a,280,1,45,2009,"Feb,May,Aug,Nov",2009-11-09 00:00:00,46,2009
145,146,d,c,8050,1,48,2012,"Jan,Apr,Jul,Oct",2012-11-26 00:00:00,48,2012
146,147,d,c,8540,0,0,0,0,0,0,0
147,148,a,a,2090,0,0,0,0,0,0,0
148,149,d,a,2610,1,14,2011,"Jan,Apr,Jul,Oct",2011-04-04 00:00:00,14,2011
149,150,c,c,31830,0,0,0,0,0,0,0
150,151,d,c,4360,0,0,0,0,0,0,0
151,152,a,a,1780,0,0,0,0,0,0,0
152,153,a,a,16240,1,18,2011,"Feb,May,Aug,Nov",2011-05-02 00:00:00,18,2011
153,154,d,c,16420,0,0,0,0,0,0,0
154,155,d,a,3050,1,35,2010,"Jan,Apr,Jul,Oct",2010-08-30 00:00:00,35,2010
155,156,a,a,2020,1,14,2011,"Mar,Jun,Sept,Dec",2011-04-04 00:00:00,14,2011
156,157,a,c,2950,0,0,0,0,0,0,0
157,158,d,c,11840,1,31,2009,"Feb,May,Aug,Nov",2009-08-03 00:00:00,32,2009
158,159,d,a,8530,0,0,0,0,0,0,0
159,160,d,c,17110,0,0,0,0,0,0,0
160,161,a,c,2970,0,0,0,0,0,0,0
161,162,d,c,5340,1,13,2010,"Jan,Apr,Jul,Oct",2010-03-29 00:00:00,13,2010
162,163,a,a,1480,0,0,0,0,0,0,0
163,164,a,a,1160,1,13,2010,"Jan,Apr,Jul,Oct",2010-03-29 00:00:00,13,2010
164,165,a,a,3720,1,13,2010,"Jan,Apr,Jul,Oct",2010-03-29 00:00:00,13,2010
165,166,a,c,100,1,31,2013,"Jan,Apr,Jul,Oct",2013-08-05 00:00:00,32,2013
166,167,a,a,140,0,0,0,0,0,0,0
167,168,a,a,12540,0,0,0,0,0,0,0
168,169,d,a,980,1,18,2014,"Feb,May,Aug,Nov",2014-05-05 00:00:00,19,2014
169,170,a,a,1070,1,14,2011,"Jan,Apr,Jul,Oct",2011-04-04 00:00:00,14,2011
170,171,a,a,2640,0,0,0,0,0,0,0
171,172,a,a,110,1,40,2014,"Jan,Apr,Jul,Oct",2014-10-06 00:00:00,41,2014
172,173,a,a,350,0,0,0,0,0,0,0
173,174,a,a,13090,1,22,2012,"Jan,Apr,Jul,Oct",2012-05-28 00:00:00,22,2012
174,175,c,a,4130,0,0,0,0,0,0,0
175,176,a,a,3770,0,0,0,0,0,0,0
176,177,a,a,1250,1,5,2013,"Feb,May,Aug,Nov",2013-02-04 00:00:00,6,2013
177,178,d,a,1710,0,0,0,0,0,0,0
178,179,a,c,480,0,0,0,0,0,0,0
179,180,d,a,5800,0,0,0,0,0,0,0
180,181,a,a,12610,1,14,2011,"Jan,Apr,Jul,Oct",2011-04-04 00:00:00,14,2011
181,182,d,c,1390,1,9,2011,"Mar,Jun,Sept,Dec",2011-02-28 00:00:00,9,2011
182,183,a,a,9670,0,0,0,0,0,0,0
183,184,d,c,3560,0,0,0,0,0,0,0
184,185,d,c,1860,0,0,0,0,0,0,0
185,186,a,a,290,1,40,2014,"Jan,Apr,Jul,Oct",2014-10-06 00:00:00,41,2014
186,187,a,c,19360,0,0,0,0,0,0,0
187,188,d,a,850,1,18,2011,"Feb,May,Aug,Nov",2011-05-02 00:00:00,18,2011
188,189,d,a,5760,0,0,0,0,0,0,0
189,190,a,a,1470,1,40,2014,"Jan,Apr,Jul,Oct",2014-10-06 00:00:00,41,2014
190,191,a,a,1100,1,40,2014,"Jan,Apr,Jul,Oct",2014-10-06 00:00:00,41,2014
191,192,d,c,2770,1,40,2014,"Jan,Apr,Jul,Oct",2014-10-06 00:00:00,41,2014
192,193,a,a,520,0,0,0,0,0,0,0
193,194,d,c,16970,1,5,2013,"Feb,May,Aug,Nov",2013-02-04 00:00:00,6,2013
194,195,a,c,220,0,0,0,0,0,0,0
195,196,c,a,3850,1,14,2011,"Jan,Apr,Jul,Oct",2011-04-04 00:00:00,14,2011
196,197,c,a,4210,0,0,0,0,0,0,0
197,198,a,a,290,1,13,2010,"Jan,Apr,Jul,Oct",2010-03-29 00:00:00,13,2010
198,199,d,c,6360,1,14,2012,"Mar,Jun,Sept,Dec",2012-04-02 00:00:00,14,2012
199,200,a,a,1650,0,0,0,0,0,0,0
200,201,d,a,20260,1,18,2014,"Mar,Jun,Sept,Dec",2014-05-05 00:00:00,19,2014
201,202,d,c,5140,0,0,0,0,0,0,0
202,203,c,c,490,0,0,0,0,0,0,0
203,204,a,a,5630,1,40,2014,"Jan,Apr,Jul,Oct",2014-10-06 00:00:00,41,2014
204,205,a,a,110,0,0,0,0,0,0,0
205,206,a,c,380,1,14,2012,"Jan,Apr,Jul,Oct",2012-04-02 00:00:00,14,2012
206,207,a,a,6870,0,0,0,0,0,0,0
207,208,c,a,300,0,0,0,0,0,0,0
208,209,a,c,11680,1,31,2013,"Jan,Apr,Jul,Oct",2013-08-05 00:00:00,32,2013
209,210,d,a,970,1,5,2013,"Feb,May,Aug,Nov",2013-02-04 00:00:00,6,2013
210,211,a,c,350,0,0,0,0,0,0,0
211,212,a,c,15050,0,0,0,0,0,0,0
212,213,d,c,4030,1,1,2014,"Jan,Apr,Jul,Oct",2014-01-06 00:00:00,2,2014
213,214,d,a,8650,1,10,2014,"Jan,Apr,Jul,Oct",2014-03-10 00:00:00,11,2014
214,215,d,a,150,1,45,2009,"Feb,May,Aug,Nov",2009-11-09 00:00:00,46,2009
215,216,c,a,190,1,45,2009,"Feb,May,Aug,Nov",2009-11-09 00:00:00,46,2009
216,217,c,a,3150,0,0,0,0,0,0,0
217,218,a,c,640,1,9,2011,"Mar,Jun,Sept,Dec",2011-02-28 00:00:00,9,2011
218,219,a,a,1640,0,0,0,0,0,0,0
219,220,a,a,1000,0,0,0,0,0,0,0
220,221,d,c,13530,0,0,0,0,0,0,0
221,222,a,a,2170,0,0,0,0,0,0,0
222,223,d,c,2920,1,27,2011,"Jan,Apr,Jul,Oct",2011-07-04 00:00:00,27,2011
223,224,d,c,7930,1,1,2013,"Jan,Apr,Jul,Oct",2013-01-07 00:00:00,2,2013
224,225,d,a,10180,0,0,0,0,0,0,0
225,226,a,a,450,0,0,0,0,0,0,0
226,227,a,a,2370,0,0,0,0,0,0,0
227,228,d,c,10800,1,18,2011,"Feb,May,Aug,Nov",2011-05-02 00:00:00,18,2011
228,229,d,c,17410,1,14,2011,"Jan,Apr,Jul,Oct",2011-04-04 00:00:00,14,2011
229,230,d,c,6680,0,0,0,0,0,0,0
230,231,d,c,3840,1,39,2010,"Feb,May,Aug,Nov",2010-09-27 00:00:00,39,2010
231,232,c,c,13570,1,10,2013,"Mar,Jun,Sept,Dec",2013-03-11 00:00:00,11,2013
232,233,a,a,1890,0,0,0,0,0,0,0
233,234,d,a,4370,0,0,0,0,0,0,0
234,235,a,a,5710,1,37,2009,"Jan,Apr,Jul,Oct",2009-09-14 00:00:00,38,2009
235,236,a,a,1000,0,0,0,0,0,0,0
236,237,a,a,1420,0,0,0,0,0,0,0
237,238,a,a,320,1,45,2009,"Feb,May,Aug,Nov",2009-11-09 00:00:00,46,2009
238,239,d,c,610,0,0,0,0,0,0,0
239,240,a,a,1110,0,0,0,0,0,0,0
240,241,d,c,780,0,0,0,0,0,0,0
241,242,d,a,6880,1,14,2011,"Jan,Apr,Jul,Oct",2011-04-04 00:00:00,14,2011
242,243,a,a,310,1,5,2013,"Feb,May,Aug,Nov",2013-02-04 00:00:00,6,2013
243,244,d,a,710,1,1,2012,"Jan,Apr,Jul,Oct",2012-01-02 00:00:00,1,2012
244,245,a,c,1310,0,0,0,0,0,0,0
245,246,c,a,4660,0,0,0,0,0,0,0
246,247,d,c,70,1,5,2013,"Feb,May,Aug,Nov",2013-02-04 00:00:00,6,2013
247,248,a,c,340,1,40,2012,"Jan,Apr,Jul,Oct",2012-10-01 00:00:00,40,2012
248,249,d,c,18010,0,0,0,0,0,0,0
249,250,d,a,3520,1,18,2012,"Feb,May,Aug,Nov",2012-04-30 00:00:00,18,2012
250,251,a,c,340,0,0,0,0,0,0,0
251,252,d,c,22330,1,5,2010,"Feb,May,Aug,Nov",2010-02-01 00:00:00,5,2010
252,253,a,c,250,1,5,2013,"Feb,May,Aug,Nov",2013-02-04 00:00:00,6,2013
253,254,d,a,330,1,1,2012,"Mar,Jun,Sept,Dec",2012-01-02 00:00:00,1,2012
254,255,c,c,4630,1,35,2011,"Feb,May,Aug,Nov",2011-08-29 00:00:00,35,2011
255,256,a,c,80,1,10,2014,"Mar,Jun,Sept,Dec",2014-03-10 00:00:00,11,2014
256,257,a,a,420,0,0,0,0,0,0,0
257,258,a,a,27190,1,37,2009,"Jan,Apr,Jul,Oct",2009-09-14 00:00:00,38,2009
258,259,b,b,210,0,0,0,0,0,0,0
259,260,a,a,540,0,0,0,0,0,0,0
260,261,d,c,15340,1,39,2009,"Jan,Apr,Jul,Oct",2009-09-28 00:00:00,40,2009
261,262,b,a,1180,0,0,0,0,0,0,0
262,263,a,c,1140,1,40,2014,"Jan,Apr,Jul,Oct",2014-10-06 00:00:00,41,2014
263,264,a,a,180,0,0,0,0,0,0,0
264,265,a,a,4580,1,14,2015,"Jan,Apr,Jul,Oct",2015-04-06 00:00:00,15,2015
265,266,a,c,360,1,9,2011,"Mar,Jun,Sept,Dec",2011-02-28 00:00:00,9,2011
266,267,c,a,2460,0,0,0,0,0,0,0
267,268,a,a,4520,0,0,0,0,0,0,0
268,269,a,c,60,0,0,0,0,0,0,0
269,270,a,a,1450,0,0,0,0,0,0,0
270,271,a,a,420,1,14,2011,"Jan,Apr,Jul,Oct",2011-04-04 00:00:00,14,2011
271,272,a,a,16180,1,14,2011,"Jan,Apr,Jul,Oct",2011-04-04 00:00:00,14,2011
272,273,a,c,8480,0,0,0,0,0,0,0
273,274,b,b,3640,1,10,2013,"Jan,Apr,Jul,Oct",2013-03-11 00:00:00,11,2013
274,275,d,a,300,1,40,2014,"Jan,Apr,Jul,Oct",2014-10-06 00:00:00,41,2014
275,276,a,a,2960,1,36,2013,"Mar,Jun,Sept,Dec",2013-09-09 00:00:00,37,2013
276,277,d,c,7840,1,31,2009,"Feb,May,Aug,Nov",2009-08-03 00:00:00,32,2009
277,278,a,c,9260,0,0,0,0,0,0,0
278,279,d,c,2320,1,40,2012,"Jan,Apr,Jul,Oct",2012-10-01 00:00:00,40,2012
279,280,d,c,18640,1,10,2014,"Mar,Jun,Sept,Dec",2014-03-10 00:00:00,11,2014
280,281,d,c,6970,0,0,0,0,0,0,0
281,282,a,a,1220,0,0,0,0,0,0,0
282,283,a,a,2260,1,40,2014,"Jan,Apr,Jul,Oct",2014-10-06 00:00:00,41,2014
283,284,d,a,1290,1,40,2014,"Jan,Apr,Jul,Oct",2014-10-06 00:00:00,41,2014
284,285,a,a,2410,0,0,0,0,0,0,0
285,286,a,a,1460,0,0,0,0,0,0,0
286,287,c,a,2740,1,40,2014,"Jan,Apr,Jul,Oct",2014-10-06 00:00:00,41,2014
287,288,d,a,800,1,14,2011,"Mar,Jun,Sept,Dec",2011-04-04 00:00:00,14,2011
288,289,d,a,6540,0,0,0,0,0,0,0
289,290,a,a,4150,0,0,0,0,0,0,0
290,291,d,a,5404,0,0,0,0,0,0,0
291,292,a,a,1100,0,0,0,0,0,0,0
292,293,c,c,140,0,0,0,0,0,0,0
293,294,a,a,3150,0,0,0,0,0,0,0
294,295,a,a,210,1,36,2013,"Mar,Jun,Sept,Dec",2013-09-09 00:00:00,37,2013
295,296,a,a,9580,1,45,2014,"Feb,May,Aug,Nov",2014-11-10 00:00:00,46,2014
296,297,a,a,2300,0,0,0,0,0,0,0
297,298,d,a,19840,0,0,0,0,0,0,0
298,299,d,c,38630,0,0,0,0,0,0,0
299,300,a,c,120,1,1,2012,"Jan,Apr,Jul,Oct",2012-01-02 00:00:00,1,2012
300,301,a,c,4510,0,0,0,0,0,0,0
301,302,d,c,2190,1,9,2011,"Mar,Jun,Sept,Dec",2011-02-28 00:00:00,9,2011
302,303,a,a,15430,1,18,2011,"Feb,May,Aug,Nov",2011-05-02 00:00:00,18,2011
303,304,a,a,1950,0,0,0,0,0,0,0
304,305,c,c,2470,1,31,2013,"Mar,Jun,Sept,Dec",2013-08-05 00:00:00,32,2013
305,306,a,a,5100,1,40,2014,"Jan,Apr,Jul,Oct",2014-10-06 00:00:00,41,2014
306,307,a,a,18660,0,0,0,0,0,0,0
307,308,a,a,1070,1,13,2010,"Jan,Apr,Jul,Oct",2010-03-29 00:00:00,13,2010
308,309,d,a,8740,1,37,2009,"Feb,May,Aug,Nov",2009-09-14 00:00:00,38,2009
309,310,a,c,2290,1,10,2014,"Mar,Jun,Sept,Dec",2014-03-10 00:00:00,11,2014
310,311,a,c,680,0,0,0,0,0,0,0
311,312,d,a,11300,0,0,0,0,0,0,0
312,313,d,c,14160,0,0,0,0,0,0,0
313,314,a,a,3560,1,31,2013,"Feb,May,Aug,Nov",2013-08-05 00:00:00,32,2013
314,315,a,c,38710,0,0,0,0,0,0,0
315,316,d,a,9000,0,0,0,0,0,0,0
316,317,d,a,3140,1,14,2011,"Jan,Apr,Jul,Oct",2011-04-04 00:00:00,14,2011
317,318,d,c,32330,0,0,0,0,0,0,0
318,319,a,c,570,1,27,2012,"Mar,Jun,Sept,Dec",2012-07-02 00:00:00,27,2012
319,320,a,c,210,0,0,0,0,0,0,0
320,321,c,c,8140,1,10,2014,"Mar,Jun,Sept,Dec",2014-03-10 00:00:00,11,2014
321,322,a,a,17500,1,37,2009,"Jan,Apr,Jul,Oct",2009-09-14 00:00:00,38,2009
322,323,d,c,8400,1,5,2013,"Feb,May,Aug,Nov",2013-02-04 00:00:00,6,2013
323,324,a,a,13140,1,14,2011,"Jan,Apr,Jul,Oct",2011-04-04 00:00:00,14,2011
324,325,a,c,350,1,22,2011,"Feb,May,Aug,Nov",2011-05-30 00:00:00,22,2011
325,326,d,a,10070,1,31,2013,"Feb,May,Aug,Nov",2013-08-05 00:00:00,32,2013
326,327,c,c,1390,0,0,0,0,0,0,0
327,328,a,a,3130,0,0,0,0,0,0,0
328,329,a,a,1310,1,22,2012,"Mar,Jun,Sept,Dec",2012-05-28 00:00:00,22,2012
329,330,a,c,370,1,22,2012,"Mar,Jun,Sept,Dec",2012-05-28 00:00:00,22,2012
330,331,a,c,670,1,14,2015,"Jan,Apr,Jul,Oct",2015-04-06 00:00:00,15,2015
331,332,a,a,1840,0,0,0,0,0,0,0
332,333,a,c,3720,0,0,0,0,0,0,0
333,334,d,c,4040,1,18,2013,"Mar,Jun,Sept,Dec",2013-05-06 00:00:00,19,2013
334,335,b,a,90,1,31,2013,"Jan,Apr,Jul,Oct",2013-08-05 00:00:00,32,2013
335,336,a,a,190,0,0,0,0,0,0,0
336,337,d,c,10600,1,45,2014,"Feb,May,Aug,Nov",2014-11-10 00:00:00,46,2014
337,338,a,c,1590,1,37,2009,"Jan,Apr,Jul,Oct",2009-09-14 00:00:00,38,2009
338,339,a,c,2280,1,10,2013,"Mar,Jun,Sept,Dec",2013-03-11 00:00:00,11,2013
339,340,a,c,8080,0,0,0,0,0,0,0
340,341,a,a,190,0,0,0,0,0,0,0
341,342,d,c,15770,1,40,2014,"Jan,Apr,Jul,Oct",2014-10-06 00:00:00,41,2014
342,343,d,a,18650,1,14,2014,"Jan,Apr,Jul,Oct",2014-04-07 00:00:00,15,2014
343,344,a,c,300,1,14,2011,"Jan,Apr,Jul,Oct",2011-04-04 00:00:00,14,2011
344,345,a,a,120,1,22,2012,"Jan,Apr,Jul,Oct",2012-05-28 00:00:00,22,2012
345,346,a,c,8090,0,0,0,0,0,0,0
346,347,d,c,9360,1,22,2012,"Mar,Jun,Sept,Dec",2012-05-28 00:00:00,22,2012
347,348,a,a,16490,1,22,2012,"Jan,Apr,Jul,Oct",2012-05-28 00:00:00,22,2012
348,349,c,c,1490,0,0,0,0,0,0,0
349,350,d,a,8880,1,14,2011,"Jan,Apr,Jul,Oct",2011-04-04 00:00:00,14,2011
350,351,a,a,5290,1,5,2013,"Feb,May,Aug,Nov",2013-02-04 00:00:00,6,2013
351,352,d,c,6360,1,40,2012,"Mar,Jun,Sept,Dec",2012-10-01 00:00:00,40,2012
352,353,b,b,900,1,14,2013,"Feb,May,Aug,Nov",2013-04-08 00:00:00,15,2013
